Model,Parameters,Strategy,Loss,Negative sampling,Dev AP,Test AP,Precision@10,Precision@50,Precision@100,Precision@500,Precision@1000,Recall@100,Recall@500,Recall@1000,NDCG,Enrichment,Enrichment@10,Enrichment@50,Enrichment@100,Enrichment@500,Enrichment@1000,PR-AUC,ROC-AUC
Random ranking,0,SHA256 uniform seed42,NA,NA,0.0006086065694513,0.00098037431524022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34436596119462887,0.0,0.0,0.0,0.0,0.0,0.0,0.0009638679624842906,0.494041780795494
k-mer ranking,5443,sequence-only,pair_difference_logistic,random,0.0015719806561126,0.003659187476779532,0.0,0.0,0.0,0.006,0.012,0.0,0.018633540372670808,0.07453416149068323,0.39093177530828505,0.0,0.0,0.0,0.0,6.006,12.012,0.0035545101023952254,0.7358549052891479
CNN ranking,59969,sequence-only,pairwise_logistic,random,0.0018481051622461,0.005479640648659203,0.1,0.02,0.01,0.012,0.008,0.006211180124223602,0.037267080745341616,0.049689440993788817,0.4017220371522212,10.01,100.10000000000001,20.02,10.01,12.012,8.008000000000001,0.004320291133895859,0.735986092357548
Existing Binary Lamar,297217,existing center-pooled LoRA + Platt,BCE,dynamic random 1:10,0.1294212780445317,0.17195756066788312,0.7,0.46,0.32,0.124,0.085,0.19875776397515527,0.38509316770186336,0.5279503105590062,0.6891400242578197,320.32,700.6999999999999,460.46000000000004,320.32,124.124,85.08500000000001,0.16975417069578147,0.9577829944832376
Frozen Lamar ranking,198657,center-pooled sequence-only,pairwise_logistic,random,0.0379087640822813,0.06000175251443223,0.1,0.26,0.19,0.072,0.046,0.11801242236024845,0.2236024844720497,0.2857142857142857,0.5445234937547081,190.19,100.10000000000001,260.26,190.19,72.07199999999999,46.046,0.05786908389341497,0.9145830600671271
LoRA Lamar ranking,493569,center-pooled sequence-only,margin(margin=0.1),hard,0.0652696713334716,0.09217794483351867,0.5,0.28,0.2,0.1,0.06,0.12422360248447205,0.3105590062111801,0.37267080745341613,0.6086517792564221,200.20000000000002,500.5,280.28000000000003,200.20000000000002,100.10000000000001,60.059999999999995,0.08967020312981015,0.9166143474402992
Hybrid Binary + Ranking,493569,center-pooled sequence-only,BCE + 0.1*pairwise_logistic,hard,0.0577070245109391,0.08102010250299947,0.5,0.22,0.17,0.082,0.055,0.10559006211180125,0.2546583850931677,0.3416149068322981,0.5972722269998467,170.17000000000002,500.5,220.22,170.17000000000002,82.08200000000001,55.055,0.0776064981157591,0.9100669341460593
