model_type,seed_count,average_precision_mean,average_precision_sd,average_precision_seed42,pr_auc_mean,pr_auc_sd,pr_auc_seed42,roc_auc_mean,roc_auc_sd,roc_auc_seed42,ndcg_mean,ndcg_sd,ndcg_seed42,selection_mean_precision_at_k_mean,selection_mean_precision_at_k_sd,selection_mean_precision_at_k_seed42,precision_at_10_mean,precision_at_10_sd,precision_at_10_seed42,precision_at_50_mean,precision_at_50_sd,precision_at_50_seed42,precision_at_100_mean,precision_at_100_sd,precision_at_100_seed42,precision_at_500_mean,precision_at_500_sd,precision_at_500_seed42,precision_at_1000_mean,precision_at_1000_sd,precision_at_1000_seed42,recall_at_10_mean,recall_at_10_sd,recall_at_10_seed42,recall_at_50_mean,recall_at_50_sd,recall_at_50_seed42,recall_at_100_mean,recall_at_100_sd,recall_at_100_seed42,recall_at_500_mean,recall_at_500_sd,recall_at_500_seed42,recall_at_1000_mean,recall_at_1000_sd,recall_at_1000_seed42,enrichment_at_10_mean,enrichment_at_10_sd,enrichment_at_10_seed42,enrichment_at_50_mean,enrichment_at_50_sd,enrichment_at_50_seed42,enrichment_at_100_mean,enrichment_at_100_sd,enrichment_at_100_seed42,enrichment_at_500_mean,enrichment_at_500_sd,enrichment_at_500_seed42,enrichment_at_1000_mean,enrichment_at_1000_sd,enrichment_at_1000_seed42
cnn,3,0.0017162933174650335,0.00019028581671606506,0.0018481051622461,0.0015955740620394669,0.0001509444296810497,0.001737118297774,0.7151277209569203,0.0007541492254031305,0.7147329238415658,0.361253462852734,0.0025559761661648533,0.3631984292530894,0.004466666666666633,0.0031134118476894507,0.0048,0.0,0.0,0.0,0.006666666666666667,0.011547005383792516,0.0,0.006666666666666667,0.005773502691896258,0.01,0.004,0.0034641016151377543,0.008,0.005,0.001,0.006,0.0,0.0,0.0,0.0020964360587001998,0.0036311337684881958,0.0,0.0041928721174003996,0.0036311337684881958,0.0062893081761006,0.012578616352201233,0.010893401305464645,0.0251572327044025,0.0314465408805031,0.0062893081761006015,0.0377358490566037,0.0,0.0,0.0,11.837526205450734,20.50319682376869,0.0,11.837526205450734,10.251598411884345,17.7562893081761,7.10251572327044,6.150959047130607,14.20503144654088,8.87814465408805,1.7756289308176094,10.65377358490566
frozen_lamar,3,0.03699513412177017,0.0014063751366503487,0.0379087640822813,0.034475671878033735,0.002016885034141588,0.0364214103246841,0.9291555162132953,0.0012052179507830616,0.928404850403195,0.5187657349463657,0.005437350172038731,0.5243961031176795,0.11846666666666666,0.0027006172134038803,0.1158,0.3,0.0,0.3,0.10666666666666667,0.011547005383792509,0.1,0.10333333333333333,0.0057735026918962545,0.1,0.05066666666666667,0.0030550504633038923,0.048,0.03166666666666667,0.0005773502691896263,0.031,0.0188679245283018,0.0,0.0188679245283018,0.0335429769392033,0.0036311337684881953,0.0314465408805031,0.06498951781970644,0.0036311337684882517,0.0628930817610062,0.1593291404612159,0.00960707692862855,0.1509433962264151,0.19916142557651992,0.0036311337684881958,0.1949685534591195,532.688679245283,0.0,532.688679245283,189.40041928721175,20.503196823768683,177.56289308176102,183.48165618448638,10.251598411884341,177.56289308176102,89.96519916142557,5.424635987750131,85.23018867924529,56.22824947589098,1.025159841188435,55.04449685534591
hybrid_lamar,3,0.06939754650266404,0.010262082546383881,0.0577070245109391,0.06674903606686523,0.009090307449346323,0.0562538230671363,0.9263717496477645,0.014213776840718399,0.9119922917046422,0.5725724039659008,0.011255061279623967,0.559652242163584,0.19633333333333333,0.03303715080531813,0.1584,0.43333333333333335,0.11547005383792516,0.3,0.24666666666666667,0.023094010767585032,0.22,0.18000000000000002,0.020000000000000004,0.16,0.07466666666666667,0.0070237691685684925,0.068,0.04699999999999999,0.0043588989435406735,0.044,0.02725366876310267,0.007262267536976451,0.0188679245283018,0.07756813417190771,0.007262267536976391,0.0691823899371069,0.11320754716981125,0.012578616352201248,0.10062893081761,0.23480083857442344,0.022087324429460667,0.2138364779874214,0.2955974842767295,0.027414458764406763,0.2767295597484276,769.4392033542977,205.03196823768695,532.688679245283,437.9884696016772,41.0063936475374,390.6383647798742,319.6132075471698,35.512578616352215,284.1006289308176,132.58029350104823,12.471607739094965,120.7427672955975,83.45455974842768,7.739787070661133,78.12767295597484
kmer,3,0.0015735497786415666,2.264013071072032e-06,0.0015719806561126,0.0014873768431003668,1.5292159016998494e-06,0.0014862711245681,0.7206976056186858,2.2342391153277107e-05,0.7206775600267776,0.3591182095646555,4.1712927035996094e-05,0.3590913105589043,0.0018000000000000002,2.655742100606481e-19,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006000000000000001,1.0622968402425924e-18,0.006,0.0030000000000000005,5.311484201212962e-19,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188679245283018,0.0,0.0188679245283018,0.0188679245283018,0.0,0.0188679245283018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65377358490566,0.0,10.65377358490566,5.326886792452831,0.0,5.326886792452831
lora_lamar,3,0.07158985813046824,0.01022941477595617,0.0652696713334716,0.06928538688650064,0.010545758176782397,0.063930665986811,0.9290020611891024,0.004170839148502934,0.9265283066121432,0.5773486621723017,0.016416650359266018,0.5713068548953779,0.18833333333333332,0.01537833974567259,0.1964,0.43333333333333335,0.05773502691896256,0.5,0.21333333333333335,0.050332229568471665,0.22,0.17,0.026457513110645915,0.15,0.07600000000000001,0.007211102550927977,0.068,0.048999999999999995,0.0043588989435406735,0.044,0.0272536687631027,0.0036311337684881975,0.0314465408805031,0.06708595387840667,0.015827745147318117,0.0691823899371069,0.10691823899371063,0.016639945352607467,0.0943396226415094,0.23899371069182387,0.02267642311612571,0.2138364779874214,0.30817610062893075,0.027414458764406766,0.2767295597484276,769.4392033542977,102.51598411884345,887.8144654088051,378.8008385744235,89.37136297433186,390.6383647798742,301.8569182389937,46.97872571674911,266.3443396226415,134.9477987421384,12.804242312520383,120.7427672955975,87.00581761006289,7.739787070661136,78.12767295597484
