split,model_id,rows,positives,negatives,background_positive_rate,average_precision,pr_auc,roc_auc,ndcg,discovered_at_10,precision_at_10,recall_at_10,enrichment_at_10,discovered_at_50,precision_at_50,recall_at_50,enrichment_at_50,discovered_at_100,precision_at_100,recall_at_100,enrichment_at_100,discovered_at_500,precision_at_500,recall_at_500,enrichment_at_500,discovered_at_1000,precision_at_1000,recall_at_1000,enrichment_at_1000,selection_mean_precision_at_k,selection_rule
calibration,random,165165,165,165000,0.000999000999000999,0.0009751029709393164,0.0009467128328532893,0.493711955922865,0.3450564925823691,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.002,0.006060606060606061,2.0020000000000002,1,0.001,0.006060606060606061,1.0010000000000001,0.0006000000000000001,"maximize unweighted mean Precision@{10,50,100,500,1000}; tie-break by Precision@100, Precision@500, then AP"
calibration,existing_binary_lamar,165165,165,165000,0.000999000999000999,0.13926455997979106,0.13527507598423305,0.9440792470156107,0.6407053233145762,6,0.6,0.03636363636363636,600.6,19,0.38,0.11515151515151516,380.38,28,0.28,0.1696969696969697,280.28000000000003,61,0.122,0.3696969696969697,122.122,79,0.079,0.47878787878787876,79.07900000000001,0.2922,"maximize unweighted mean Precision@{10,50,100,500,1000}; tie-break by Precision@100, Precision@500, then AP"
calibration,kmer,165165,165,165000,0.000999000999000999,0.002922431041946749,0.002838612226299002,0.7646681175390265,0.38591299591602335,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.006,0.01818181818181818,6.006,4,0.004,0.024242424242424242,4.0040000000000004,0.002,"maximize unweighted mean Precision@{10,50,100,500,1000}; tie-break by Precision@100, Precision@500, then AP"
calibration,cnn,165165,165,165000,0.000999000999000999,0.0027575293115463598,0.002651546907643075,0.7305568044077134,0.38345543458536213,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.004,0.012121212121212121,4.0040000000000004,6,0.006,0.03636363636363636,6.006,0.002,"maximize unweighted mean Precision@{10,50,100,500,1000}; tie-break by Precision@100, Precision@500, then AP"
calibration,frozen_lamar,165165,165,165000,0.000999000999000999,0.05415421924723079,0.05287853108399583,0.9261969880624425,0.5658375242720998,3,0.3,0.01818181818181818,300.3,10,0.2,0.06060606060606061,200.20000000000002,13,0.13,0.07878787878787878,130.13,27,0.054,0.16363636363636364,54.054,45,0.045,0.2727272727272727,45.045,0.1458,"maximize unweighted mean Precision@{10,50,100,500,1000}; tie-break by Precision@100, Precision@500, then AP"
calibration,lora_lamar,165165,165,165000,0.000999000999000999,0.09473586081336091,0.09344930923272582,0.9243813039485766,0.6160767902683707,5,0.5,0.030303030303030304,500.5,14,0.28,0.08484848484848485,280.28000000000003,20,0.2,0.12121212121212122,200.20000000000002,47,0.094,0.28484848484848485,94.094,58,0.058,0.3515151515151515,58.058,0.22640000000000002,"maximize unweighted mean Precision@{10,50,100,500,1000}; tie-break by Precision@100, Precision@500, then AP"
calibration,hybrid_lamar,165165,165,165000,0.000999000999000999,0.0886448054841714,0.08755730822941224,0.8962716620752983,0.6055711303086851,6,0.6,0.03636363636363636,600.6,13,0.26,0.07878787878787878,260.26,16,0.16,0.09696969696969697,160.16,39,0.078,0.23636363636363636,78.078,56,0.056,0.3393939393939394,56.056000000000004,0.23080000000000003,"maximize unweighted mean Precision@{10,50,100,500,1000}; tie-break by Precision@100, Precision@500, then AP"
