model_id,method,oof_brier,oof_ece,full_fit_brier,full_fit_ece,platt_slope,platt_intercept
random,no_calibration_random_control,0.0009980029960049935,6.505213034913027e-19,0.0009980029960049935,6.505213034913027e-19,,
existing_binary_lamar,platt_5fold_oof_then_full_fit,0.0009199459270022874,0.0001216474430183203,0.000918468326408552,0.0001321047338139213,0.7276420479724043,-4.206274992649658
kmer,platt_5fold_oof_then_full_fit,0.000997128969546791,8.218872753641064e-05,0.000997081678050637,8.320152337026876e-05,1.9717203034333433,-7.09016599827167
cnn,platt_5fold_oof_then_full_fit,0.0009978979980787416,9.640653010374286e-06,0.00099789773319946,9.665626925036471e-06,1.117969218048608,-6.737308730233356
frozen_lamar,platt_5fold_oof_then_full_fit,0.0009734092308064457,7.009754488276909e-05,0.000972898316109855,6.981172597599277e-05,1.2159503070124624,-7.27218088154536
lora_lamar,platt_5fold_oof_then_full_fit,0.0009503129516401028,6.3298921727294e-05,0.0009494855669436574,5.571736172997657e-05,10.567083210058033,-5.7995070141674745
hybrid_lamar,platt_5fold_oof_then_full_fit,0.0009647231631504147,7.240464496908056e-05,0.0009645951120267536,7.557138121263332e-05,0.4831072676831225,-5.382784053451346
