method,pr_auc,average_precision,roc_auc,precision,recall,f1,mcc,brier,ece,threshold,tn,fp,fn,tp,fp_per_million
none,0.13527507598423305,0.13926455997979106,0.9440792470156107,0.044193216855087356,0.5212121212121212,0.08147797252486973,0.1492951616484001,0.009093884453649833,0.02172057970328417,0.5,163140,1860,79,86,11272.727272727272
platt,0.11277224919541824,0.1166074717823764,0.9268958126721765,0.0,0.0,0.0,-0.00011004203583333698,0.0009297957886668933,0.00016929619500143466,0.5,164998,2,165,0,12.121212121212121
isotonic,0.11297454687617102,0.1156005998157858,0.9264976675849402,0.42857142857142855,0.05454545454545454,0.0967741935483871,0.1526237136404825,0.0009344748189970534,0.0001158514705175687,0.5,164988,12,156,9,72.72727272727273
