method,mean_predicted_probability,observed_frequency
none,6.737058353732237e-05,0.0
none,0.0001252013779842804,0.0
none,0.00019434074824845922,7.265329845975008e-05
none,0.0002899833487623431,7.265857734505559e-05
none,0.00042873762493424454,7.265329845975008e-05
none,0.000644744174047196,0.00014530659691950015
none,0.001003383054630577,7.265857734505559e-05
none,0.00167091730491842,0.0
none,0.003072412292398182,0.00014530659691950015
none,0.0068227544106913346,0.0005812686187604447
none,0.022043626826319846,0.0008718395815170009
none,0.23626713438646474,0.00995350188898576
platt,9.23349562387112e-06,7.265329845975008e-05
platt,1.8947084184140907e-05,0.00014530659691950015
platt,2.7498952285203174e-05,7.265329845975008e-05
platt,3.7719859175190014e-05,7.265857734505559e-05
platt,5.098359395413926e-05,0.0
platt,6.907715471829462e-05,0.0
platt,9.590073770078175e-05,0.00021797573203516675
platt,0.00013946825374672896,0.00014530659691950015
platt,0.000218401872693843,0.00021795989537925023
platt,0.00039079592810475395,0.0005812686187604447
platt,0.0009228035396335346,0.0008718395815170009
platt,0.010725678381399872,0.00959023539668701
isotonic,0.0,6.863575007435539e-05
isotonic,3.507766929045299e-05,0.0003257594266634091
isotonic,7.50933714348162e-05,3.951319740793425e-05
isotonic,9.45889678077591e-05,0.0
isotonic,9.758338849750296e-05,0.0
isotonic,9.948456520455587e-05,0.0
isotonic,0.00023244732280793622,0.00024177949709864604
isotonic,0.000525083256297803,0.0009736421169761457
isotonic,0.001057164210559341,0.0011052980620440645
isotonic,0.010748764738637133,0.010000787463579809
