model,training_strategy,pooling,sampling_ratio,negative_strategy,loss,learning_rate,trainable_parameters,total_parameters,seed,dev_PR_AUC,dev_average_precision,calibration_PR_AUC,test_PR_AUC,test_precision,test_recall,test_F1,FP_per_million,training_time,peak_memory,experiment_id,stage,status,config_json
LAMAR,lora,center,10,random,bce,1e-05,592129,86443922,42,0.7733812195170165,0.7741966492145018,,,,,,,2014.9475047588348,1540013568.0,s2_lr_1e-05,stage2_lr,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1.0000000000000002e-06, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s2_lr_1e-05"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 1e-05, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage2_lr"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,3e-05,592129,86443922,42,0.7932277827767831,0.7941121761923714,,,,,,,766.7632954120636,1540013568.0,s2_lr_3e-05,stage2_lr,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 3e-06, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s2_lr_3e-05"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 3e-05, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage2_lr"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,592129,86443922,42,0.8167900126502327,0.817341411529998,,,,,,,819.5520598888397,1540013568.0,s2_lr_0p0001,stage2_lr,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s2_lr_0p0001"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage2_lr"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,1,random,bce,0.0001,592129,86443922,42,0.7907305217579088,0.7913361010591006,,,,,,,350.70776414871216,1540013568.0,s3_ratio_1,stage3_sampling,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s3_ratio_1"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 1, ""seed"": 42, ""stage"": ""stage3_sampling"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,5,random,bce,0.0001,592129,86443922,42,0.7900519943390724,0.7906121151632284,,,,,,,633.8586730957031,1540013568.0,s3_ratio_5,stage3_sampling,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s3_ratio_5"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 5, ""seed"": 42, ""stage"": ""stage3_sampling"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,592129,86443922,42,0.8167900126502327,0.817341411529998,,,,,,,781.510758638382,1540013568.0,s3_ratio_10,stage3_sampling,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s3_ratio_10"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage3_sampling"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,20,random,bce,0.0001,592129,86443922,42,0.8005362985560611,0.8014345574101072,,,,,,,1274.827553510666,1540013568.0,s3_ratio_20,stage3_sampling,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s3_ratio_20"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 20, ""seed"": 42, ""stage"": ""stage3_sampling"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,20,dynamic_full,bce,0.0001,592129,86443922,42,0.8025208180416138,0.8032794879325377,,,,,,,1457.0042412281036,1540013568.0,s3_dynamic_full,stage3_sampling,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s3_dynamic_full"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""dynamic_full"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 20, ""seed"": 42, ""stage"": ""stage3_sampling"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,592129,86443922,42,0.8167900126502327,0.817341411529998,,,,,,,777.2419576644897,1540013568.0,s4_negative_random,stage4_negative,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s4_negative_random"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage4_negative"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,matched,bce,0.0001,592129,86443922,42,0.5562719528391419,0.5581568963508033,,,,,,,776.1852986812592,1540013568.0,s4_negative_matched,stage4_negative,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s4_negative_matched"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""matched"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage4_negative"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
