model,training_strategy,pooling,sampling_ratio,negative_strategy,loss,learning_rate,trainable_parameters,total_parameters,seed,dev_PR_AUC,dev_average_precision,calibration_PR_AUC,test_PR_AUC,test_precision,test_recall,test_F1,FP_per_million,training_time,peak_memory,experiment_id,stage,status,config_json
LAMAR,lora,center,10,random,bce,0.0001,592129,86443922,42,0.8167900126502327,0.817341411529998,,,,,,,773.0133802890778,1540013568.0,s6_lora_r8_d0p05,stage6_lora_rank,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s6_lora_r8_d0p05"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage6_lora_rank"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,1181953,87033746,42,0.8156951715987304,0.816215010417109,,,,,,,742.3570671081543,1497844224.0,s6_lora_r16_d0p0,stage6_lora_rank,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s6_lora_r16_d0p0"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.0, ""lora_rank"": 16, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage6_lora_rank"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,1181953,87033746,42,0.7999823021125895,0.8006041090724285,,,,,,,686.4399690628052,1551846912.0,s6_lora_r16_d0p05,stage6_lora_rank,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s6_lora_r16_d0p05"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 16, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage6_lora_rank"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8250019520429981,0.8254375974333445,,,,,,,751.077995300293,1534084608.0,s7_wd0,stage7_hparams,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s7_wd0"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage7_hparams"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.0}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8249772189012263,0.8254191842773719,,,,,,,766.6567022800446,1534084608.0,s7_wd01,stage7_hparams,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s7_wd01"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage7_hparams"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8058894191309963,0.806475021020285,,,,,,,751.2499620914459,1534084608.0,s7_warm0,stage7_hparams,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s7_warm0"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage7_hparams"", ""warmup_ratio"": 0.0, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8249772189012263,0.8254191842773719,,,,,,,779.8569135665894,1534084608.0,s7_warm03,stage7_hparams,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s7_warm03"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage7_hparams"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8096743355677385,0.8102609732416302,,,,,,,1433.036075592041,1174961664.0,s7_batch8,stage7_hparams,SUCCESS,"{""accumulation_steps"": 4, ""backbone_lr"": 1e-05, ""batch_size"": 8, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s7_batch8"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage7_hparams"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8249772189012263,0.8254191842773719,,,,,,,800.8146901130676,1534084608.0,s7_batch16,stage7_hparams,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s7_batch16"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage7_hparams"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8250019520429981,0.8254375974333445,0.1127722491954182,0.16975417069578147,0.47619047619047616,0.12422360248447205,0.19704433497536947,136.64596273291926,724.0402820110321,1534084608.0,final_seed42,final_seeds,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""final_seed42"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""final_seeds"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.0}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,43,0.8080192997459977,0.8085858523249991,,,,,,,772.3770155906677,1534084608.0,final_seed43,final_seeds,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""final_seed43"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 43, ""stage"": ""final_seeds"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.0}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,44,0.7915316396245677,0.792133308408463,,,,,,,655.9587907791138,1534084608.0,final_seed44,final_seeds,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""final_seed44"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 44, ""stage"": ""final_seeds"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.0}"
kmer_logistic,baseline,,10,random,bce,,344,344,20260722,0.3270873668639166,0.3305119141606771,,,,,,,3.917656183242798,,kmer_logistic,baseline,SUCCESS,
metadata_only_logistic,baseline,,10,random,bce,,6,6,20260722,0.7493210465957091,0.7501468011686914,,,,,,,0.1981592178344726,,metadata_only_logistic,baseline,SUCCESS,
cnn,baseline,,10,random,bce,,59969,59969,20260722,0.3626057705767718,0.3650521387790018,,,,,,,23.467536449432373,51728896.0,cnn,baseline,SUCCESS,
