population	eligible_before_low_complexity_filter	excluded_by_OR_rule	retained_after_filter	exclusion_proportion	entropy_trigger_count	homopolymer_trigger_count	dinucleotide_trigger_count	OR_logic
positive_main_without_low_complexity_filter	1513	0	1513	0	0	0	0	entropy_lt_1.20_OR_homopolymer_ge20_OR_phase_checked_dinucleotide_coverage_ge0.80
negative_strict_without_low_complexity_filter	2823821	2087	2821734	0.000739069509009	131	1956	0	entropy_lt_1.20_OR_homopolymer_ge20_OR_phase_checked_dinucleotide_coverage_ge0.80
