model,trainable_parameters,representation,pooling,dev_AP,calibration_AP,test_AP,test_PR_AUC,test_precision,test_recall,test_F1,test_MCC,ROC_AUC,Brier,ECE,FP_per_million,threshold,calibration_method,test_tn,test_fp,test_fn,test_tp,split,method
lamar_linear_probe_center,769,center,center,0.6985833992748813,0.048428066830534404,0.06626245779710935,0.06363099663110386,0.3333333333333333,0.024844720496894408,0.046242774566473986,0.09077914795084252,0.92431190926276,0.0009643230073653412,8.340035946270409e-05,49.68944099378882,0.24570427829263322,platt,160992,8,157,4,test,linear_probe
lamar_linear_probe_cls,769,cls,cls,0.345897027904593,0.005296509085721553,0.006237787862853666,0.015978190855845342,0.0,0.0,0.0,0.0,0.7832171019636589,0.000994673495637128,1.2775925435160387e-05,0.0,0.02173913043478261,isotonic,161000,0,161,0,test,linear_probe
lamar_linear_probe_masked_mean,769,masked_mean,masked_mean,0.3655171787559735,0.006719021067133844,0.005390686007106466,0.011019771949742886,0.0,0.0,0.0,0.0,0.7806935496315729,0.000995422475348516,4.2446625024151596e-06,0.0,0.05555555555555556,isotonic,161000,0,161,0,test,linear_probe
lamar_linear_probe_mean,769,mean,mean,0.36551446758937484,0.006719103706370766,0.005390681567676924,0.011019763769688691,0.0,0.0,0.0,0.0,0.7806931445546083,0.0009954224809025575,4.2363560747891386e-06,0.0,0.05555555555555556,isotonic,161000,0,161,0,test,linear_probe
