model,trainable_parameters,representation,pooling,dev_AP,calibration_AP,test_AP,test_PR_AUC,test_precision,test_recall,test_F1,test_MCC,ROC_AUC,Brier,ECE,FP_per_million,threshold,calibration_method,test_tn,test_fp,test_fn,test_tp,split,method
lamar_zero_shot_center,0,center,center,0.5913019371380754,0.0309413592211437,0.03618025781066836,0.03442281303020495,0.06666666666666667,0.006211180124223602,0.011363636363636364,0.02005494708796486,0.8771154469349176,0.000982322371658408,9.58095214241865e-05,86.95652173913044,0.08334890071193655,platt,160986,14,160,1,test,diagonal_mahalanobis
lamar_zero_shot_cls,0,cls,cls,0.20959981493624255,0.002710494559156427,0.0033202104252565727,0.0030710236813188347,0.0,0.0,0.0,-0.0002728832102730737,0.7203043092473285,0.0009971741982662972,7.451622220207852e-05,74.53416149068323,0.006471322335414634,platt,160988,12,161,0,test,diagonal_mahalanobis
lamar_zero_shot_masked_mean,0,masked_mean,masked_mean,0.22090725497821365,0.003316264892350586,0.0043072180751118115,0.004081996943756494,0.0,0.0,0.0,-0.00017614152922622013,0.7572159446009026,0.000996648386460027,7.055590714508662e-05,31.055900621118013,0.011372523206296883,platt,160995,5,161,0,test,diagonal_mahalanobis
lamar_zero_shot_mean,0,mean,mean,0.22090725497821365,0.003316272131404007,0.004307217182976956,0.004081938636097699,0.0,0.0,0.0,-0.00017614152922622013,0.7572158674433856,0.000996648386388209,7.055591221665023e-05,31.055900621118013,0.011372525094067599,platt,160995,5,161,0,test,diagonal_mahalanobis
